content,score,at
Cukup membantu saat perlu konsultasi ke dokter dan beli obat,5,2024-11-13 05:11:01
"Mesen obat yg kadang susah nyari di apotek kecil, bantu banget",5,2024-11-13 04:55:27
Cukup bagus halodoc aplikasinya untuk pemesanan obat.,5,2024-11-13 04:53:36
"Bagussss, dokter nya ramah",5,2024-11-13 04:46:12
sangat membantu dan cepat tanggap,5,2024-11-13 04:35:10
Oke,5,2024-11-13 02:40:08
"Menurut saya lebih baik lg ditambah surat resep obat dr. Gtu brbntuk pdf atw apa, soal kdg nebus obat dapotik hrs ada resep dr.nya. okeeee.",4,2024-11-13 01:52:29
Aplikasi yang sangat membantu fitur lengkap obat langsung d anttar k rumah,5,2024-11-12 20:04:44
cukup mudah dipahami,5,2024-11-12 16:23:13
Sangat membantu,5,2024-11-12 15:03:29
rekomen banget pliss,5,2024-11-12 13:20:43
Sangat membantu,5,2024-11-12 13:05:24
Sangat membantu,5,2024-11-12 12:49:09
"dokter merespon dengan cepat,baik dan ramah terimakasih dok",5,2024-11-12 12:46:04
"Sangat membantu, Mudah dan gak perlu ribet..",5,2024-11-12 12:45:09
Bisa membantu dengan baik,5,2024-11-12 11:15:13
"Sangat membantu sekali, dokternya jg sangat baik, ramah, dan tentu saja membantu, makasi halodoc dan hari ini pun kembali menggunakan jasa halodoc, saya sangat terbantu, makasi",5,2024-11-12 10:51:27
keren,5,2024-11-12 09:27:37
Informatif dan mengedukasi kami yang minim pengetahuan tentang penyakit dan kesehatan,4,2024-11-12 06:27:14
Tambahkan opsi kurir pengiriman,4,2024-11-12 05:57:34
Bagi saya halodoc memberi kemudahan untuk membeli atau menebus resep obat yang tidak ada di apotek dan harganya sesuai.,5,2024-11-12 04:31:12
Aplikasi yg sangat membantu dan mudah,5,2024-11-12 04:12:13
👍👍👍👍,5,2024-11-12 02:14:43
The best 👍💯,5,2024-11-12 01:45:53
Sangat membantu kami yg tinggalnya di daerah tertinggal yg belum terjangkau RSU dan Puskesmas. Terimakasih 🙏,5,2024-11-12 00:40:49
muantabb,5,2024-11-12 00:01:53
Sangat membantu,5,2024-11-11 22:35:45
sangat membantu sekali 🥰,5,2024-11-11 15:56:51
Aplikasi nyah snggat bermanfaat,5,2024-11-11 14:14:12
Sangat membantu,5,2024-11-11 13:34:03
Thank you for all doctor helps me and my family 👍,5,2024-11-11 13:15:06
Sangat membantu,5,2024-11-11 12:23:07
Recommendet untuk kesehatan,5,2024-11-11 12:06:09
Penanganan cepat,5,2024-11-11 05:54:46
Mantab,5,2024-11-11 02:17:04
Kenapa sih kalau mau chat dokter di apl halodoc kok ada biaya 1x chat dokter,5,2024-11-10 15:35:56
Terbaik,5,2024-11-10 13:30:57
Sangat membantu,5,2024-11-10 09:54:58
Respon dokter sangat cepat mudah dimengerti,5,2024-11-10 07:00:15
Respon dokter cepat. Obat yg diberikan harga terjangkau.,5,2024-11-10 05:45:06
"Tingkatkan lagi peforma nya, jangan kendor, rekomendasi di download",5,2024-11-10 04:37:54
Bagus,4,2024-11-10 04:17:57
"Aplikasi yg memudahkan untuk konsultasi dengan dokter. Cuma untuk pemilihan gojeknya,kalau bisa ada yang lebih murah dan pengambikan obat tidak dibagi2 ke beberapa apotik karena sangat berat di ongkir. Cukup satu apotik saja untuk tebus resep obat. Terima kasih",5,2024-11-10 04:12:39
Bagusd,5,2024-11-10 02:24:05
Baguss,5,2024-11-10 01:57:49
Respon dokter cepan dan memuaskan,5,2024-11-10 01:00:44
Baik layanan,5,2024-11-09 23:06:38
Bgs dan mudah,5,2024-11-09 22:44:11
Aplikasi yg cukup membantu saat kita tdk bs berkonsultasi dg dokter secara langsung. Sangat rekomen utk di-install😊👍🏻,5,2024-11-09 15:09:45
Terima kasih halodoc. Penjelasan dokter cukup jelas dan resposip,5,2024-11-09 13:55:55
"Mempermudah untuk berobat, sangat membantu.",4,2024-11-09 12:28:22
Biarkan bintang yg berbicara,5,2024-11-09 11:13:24
sangattttt membantu,5,2024-11-09 03:28:58
"Sangat membantu, mantap banget",5,2024-11-09 03:01:50
Sangat membantu. Kalo bisa ada konsultasi yg gratis juga.,5,2024-11-09 02:19:35
Dokternya ramah terima kasih dok,5,2024-11-09 00:43:49
Ke dokter tanpa perlu antri,5,2024-11-09 00:18:27
"Dokter nya ramah dan baik, puas konsulnya",5,2024-11-08 14:30:53
Suka sama halodoc.. harga chat dokter terjangkau.. tapi bisa bantu banget disaat urgent,5,2024-11-08 13:50:05
"Sangat membantu, bagi yang mageran buat pergi keDokter hehe",5,2024-11-08 13:40:41
Membantu sekali,5,2024-11-08 12:56:46
Baik baik bgt dokternya... terbaik pokoknya aplikasi ini,5,2024-11-08 12:48:27
pesanan sesuai dan tepat waktu,5,2024-11-08 12:35:17
Good job. Saya senang atas konsultasinya,5,2024-11-08 11:20:51
Sangat baik,5,2024-11-08 07:57:31
Penjelasan dari dr. Ryski sangat jelas dan terperinci,5,2024-11-08 07:54:00
"dokternya slowrespon,rugi bayar",1,2024-11-08 06:45:22
Sangat membantu saat ada keluhan kesehatan tapi kendala waktu saat harus ke dokter / RS,5,2024-11-08 06:04:49
Dokter nya sangat ramah Dan sangan membantu,4,2024-11-08 05:16:08
Dokternya sangat membantu,5,2024-11-08 03:58:09
Sangat membantu,5,2024-11-08 03:54:32
respon dokter cepat,5,2024-11-08 03:31:58
"tolong banget ya ini jasa pengirimannya tolong bangettt tambahin ekspedisi jnt atau yg lain, jangan shipper aja, jujur ya lama banget datang obat, keburu meninggal orang kalo gitu",2,2024-11-08 02:07:38
Sangat membantu untuk aku ketika sakit dan lemas kemana2 serta gaada yg nganterin ke RS/klinik bisa konsultasi lewat hp dan bisa beli obat dianterin ke rumah langsung. Mantab sekali,5,2024-11-08 01:18:32
Dokter sangat ramah dan memberi edukasi sangat mudah di pahami,5,2024-11-07 23:44:21
Sangat membantu sekali,5,2024-11-07 17:06:16
sangat membantu,5,2024-11-07 15:12:48
Sangat membantu. Top..!,5,2024-11-07 15:01:31
Dokternya ramah fast respon,5,2024-11-07 14:48:15
Sangat membantu untuk berobat tanpa harus ke RS 👍🏻 respon dari dokter nya juga cepat dan sangat ramah👍🏻,5,2024-11-07 14:32:29
Mantap,5,2024-11-07 13:59:33
"Sebagai karyawan astra daihatsu motor, saya merasa sekarang ribet",1,2024-11-07 12:39:06
love,5,2024-11-07 12:23:04
Masya Allah aplikasi halodoc ini sangat membantu sekali. Terimakasih banyak halodoc!,5,2024-11-07 12:09:45
Sangat membantu,5,2024-11-07 10:28:41
Pelayanan yang baik,5,2024-11-07 10:20:31
"Masakan ongkirnya dibayar per produk yang dipesan? apa ga bangkrut customer? Pesan obat ada 20 jenis, dibayar ongkir instan per produk Rp.12000 untuk 20 produk tsb ya jd Rp. 240000 cuy? gelo sih.. tolong deh, untuk 1 kali pembelian, ya ongkirnya sekali aja lah untuk semua produk yang dipesan per hari itu. ☠️",1,2024-11-07 07:41:20
Dokter nya sangat ramah,5,2024-11-07 07:06:48
Sangat membantu,5,2024-11-07 03:31:43
"sangat membantu, tidak repot antri lagi",5,2024-11-07 03:24:01
Responsif,5,2024-11-07 02:23:07
Aplikasi yang sangat membantu,5,2024-11-07 00:41:06
"Catatan pada alamat pengiriman tidak tercata di aplikasi gojek nya, jadi abangnya bingung nyari alamatnya. Mohon untuk segera di perbaiki bugs nya.",5,2024-11-07 00:27:23
Bagus dan tingkatkan terus layanannya ya halodoc,4,2024-11-06 14:38:46
Puas dengan penjelasannya,5,2024-11-06 13:13:54
Alhamdulillah penjelasan yg di berikan sangat membantu sekali,5,2024-11-06 12:32:29
"Parah sih nih aplikasi psen obat urgen harus nya toko obat ny nyari yg deket sm lokasi pesanan biar d krim pake grab atau gojek bukan pake expedisi harus nunggu lama,keburu parah yg sakit ,tolong d perbaiki lagi",1,2024-11-06 12:18:20
sangat membantu sekali,5,2024-11-06 11:54:36
"Sangat membantu disaat butuh obat cepat aplg tuk kelg/ org tua kl tiba2 ngeluhin demam batuk pilek radang, vertigo kambuh beda provinsi tinggal pesen di halodoc cpt smp sygnya mahal diongkir bok ya dituruni ongkir pengantaran atuuh",4,2024-11-06 11:47:47
"Rekomendasi obatnya bagus, walau pake asuransi",5,2024-11-06 11:31:37
Oke,5,2024-11-06 11:24:20
saran yang diberikan logis,5,2024-11-06 09:45:34
Respon sngat cpt,5,2024-11-06 07:58:57
Sangat membantuu,5,2024-11-06 06:56:04
"Sangat memudahkan berkonsultasi, terutama saat sakit terasa dan waktu tak ada alias sibuk. Diagnosa, resep dan obat langsung didapat.",5,2024-11-06 06:44:43
Mantap,5,2024-11-06 06:05:42
"Terimakasih Hallodoc, sangat membantu 😊",5,2024-11-06 04:36:03
Mantap,5,2024-11-06 03:33:06
sangat membantu..... aplikasinya,5,2024-11-06 03:29:29
"MaasyaAllah mudah skali skrng ada halodoc terutama sy yg lagi tiba² kena vertigo dan sendiri an dirumah krna suami udh berangkat kerja dan anak² udh sekolah, tidak memungkinkan untuk keluar rumah untuk berobat. Sangat membantu skali halodoc ini langsung konsultasi dengan dokter yg ramah, tanya keluhan dan di kasih resep obat nya, semoga cocok berobat disini teirmakasih dokter, terimaksih halodoc, sukses slalu yaa 💝💝",5,2024-11-06 02:14:40
Top,5,2024-11-06 00:33:08
Memudahkan,5,2024-11-05 22:04:59
Sangat membantu,5,2024-11-05 14:33:51
Sangat puas pelayanan kosultasinya,5,2024-11-05 13:22:46
"Admin tolong, ini saya sudah bayar tapi dokternya sibuk trus harus bagaimana? Ganti dokter malah disuruh bayar lagi",4,2024-11-05 12:52:28
"Aplikasi Sangat membantu, dokternya baik baik dan bagus 👍",5,2024-11-05 11:29:23
Dokternya sgt sabar dn ramah.. menanyakan keluhan pasien dengan sgt baik dan sepenuh hati.. Terimakasih banyak buat Dr.,5,2024-11-05 10:36:07
"Aplikasi yang sangat bermanfaat. Dokternya juga dokter yang sangat berpengalaman dalam bidangya. Sehingga mudah untuk dikonsultasikan, serta pemilihan obatnya yang bagus.",5,2024-11-05 10:07:53
Membantu,4,2024-11-05 10:02:00
Fast respon,5,2024-11-05 09:54:17
luar biasa,5,2024-11-05 08:50:21
Emang bermanfaatnya,5,2024-11-05 04:38:03
Hebat,5,2024-11-05 03:24:31
Sangat membantu sekali,5,2024-11-05 01:40:28
Menunya simpel bagus,5,2024-11-05 00:42:05
Dokternya penjelansanaya sangat jelas,5,2024-11-05 00:19:26
Gercep bangt pengiriman nya walaupun pas konsultasi dokternya suka lama responnya,5,2024-11-04 22:31:57
"Ada metode pmbayaran via shopeepay tapi bukan payleter, akhirnya tebus resep ditunda dulu :(",4,2024-11-04 20:06:09
Konsultasi saya cancek karena dokter tidak menerima room chat sangat lama. Tapi tidak ada pengembalian dana. Rugi,1,2024-11-04 18:36:00
"Aplikasinya sangat bermanfaat.. Dokter Wendy Budiawan, terima kasih 🙏 Konsultasi jam 12 malam tetap dilayani dengan sangat baik..",5,2024-11-04 17:39:41
Dokter nya ramah dan penjelasan nya mudah di pahami,5,2024-11-04 16:43:57
Okehh dan mudah,5,2024-11-04 15:42:05
"Udah bayar ,tp gak bisa chat sm dokter nya.. gak ikhlas saya buang buang duit percuma,hati hati kalau mau komsultasi di sini, nanti seperti saya uang gak ada, chat pun gak",1,2024-11-04 15:34:22
Langsung mendapat resep yg bagus,5,2024-11-04 14:41:51
nice,5,2024-11-04 14:20:56
Sangat baik,4,2024-11-04 14:00:31
Good,5,2024-11-04 13:27:25
Sangat membantu,5,2024-11-04 12:40:30
"Sangat membatu well, sejauh ini make aplikasi halodoc dr. Martina spesialis kulit sangat top 🫶",5,2024-11-04 12:25:53
"Sangat membantu, dokter nya juga ramah, thankyou 🫶",5,2024-11-04 11:45:38
"Dokternya baik dan ramah, bener² di pantau setiap perkembangannya, selalu ada solusi di setiap keluhan²nya",5,2024-11-04 11:30:16
Ok,5,2024-11-04 10:44:43
Sangat membantu dan prosesnya sangat cepat serta pelayanan prima,5,2024-11-04 10:09:15
Aplikasi ini recomended banget,5,2024-11-04 09:42:27
"tidak perlu ribet pergi apotik, obat langsung dikirim rumah",5,2024-11-04 07:41:55
Bagus sangat membantu mempermudah dalam konsultasi kesehatan,5,2024-11-04 06:40:57
Oke,5,2024-11-04 05:05:10
Mantap,5,2024-11-04 04:08:56
Sangat membantu sekali,5,2024-11-04 02:52:31
"Opsi untuk yang tidak bisa ke rumah sakit, dan opsi lebih murah",5,2024-11-03 23:59:47
"Tolong algoritma toko nya di perbaiki, di kota bandung ada banyak apotek tapi yang di assign jauh, percuma kalo gojeknya gaada yang mau ambil, customer rugi waktu apalagi kalo malam hari",1,2024-11-03 15:12:26
bagus,5,2024-11-03 15:07:02
Sangat membantu,5,2024-11-03 13:53:11
Good,5,2024-11-03 13:20:40
Sangat bagus...,5,2024-11-03 12:51:36
"kenapa selalu di waktu pembayarannya itu ada kendala, harus diperbarui padahal sudah di perbarui, nyusahin",1,2024-11-03 12:32:48
"Pelayanan pembelian obat tidak ontime harus order ulang, padahal butuh urgent",1,2024-11-03 12:16:08
Ok banget,5,2024-11-03 12:13:39
Dokternya ramahh sekali.. penjelasan juga detail 😍,5,2024-11-03 10:52:26
Udah 2 kali pakai aplikasi ini dan bagus buat orang yang malas konsultasi dan datang ke dokter langsung...sejauh ini dapat dokter yang baik terus dan kasih solusi yang tepat 👍👍👍,5,2024-11-03 10:49:21
Baik,5,2024-11-03 08:41:02
"Membantu sekali, cuma sometimes obatnya datang dlm beberapa hari.",5,2024-11-03 08:21:02
"apaan bgt dah? pesanan cream yg di resepin dokter belum di antar"" dari tanggal 30 Oktober sampai sekarang belum di antar ANEH!! mau minta pengembalian dana gak bisa, aplikasi aneh.baru kali ini di kecewain",1,2024-11-03 07:59:06
"respon dokter baik,chat juga berjalan lancar,pilihan dokternya jg bnyak",4,2024-11-03 05:08:51
Pelayan dokter nya. Banyak dan memudahkan,5,2024-11-03 03:46:53
Terimakasih informasinya,5,2024-11-03 03:20:08
Tidak bisa mengunduh resep untuk konsultasi obat antibiotik,1,2024-11-03 02:33:11
Membantu sekali,5,2024-11-03 02:29:42
Sangat responsif,5,2024-11-03 02:25:49
Sangat membantu,5,2024-11-02 23:57:28
"Aplikasi sangat membantu, senang sekali terlebih untuk single parent seperti saya ini yg harus segera mencari solusi terbaik untuk kesehatan anak-anak.",5,2024-11-02 23:00:51
"Aplikasinya lemot,,, setiap beli obat tertentu harus pakai resep dokter dimana dokternya lama merespon.. Status obat dikatakan terkirim tetapi nyatanya ditunggu2 malah status berubah cancel...",1,2024-11-02 16:46:40
"Sangat membantu,meskipun obat nya ada yg gak lengkap jd harus keluar rumah buat cari di apotik yg lain.",5,2024-11-02 15:40:54
Terbaik,5,2024-11-02 14:43:53
"pesenan obat aku tiba tiba dibatalin dan gaada pemberitahuan notifikasi atau lainnya, padahal butuh banget obatnya tp tiba² dibatalin gajelas.",1,2024-11-02 14:13:34
bagus konsultasi di halodoc,5,2024-11-02 13:54:59
Yang konsultasi pertama belum konsul dan tau' selesai tidak di refund,3,2024-11-02 11:56:31
Good,5,2024-11-02 10:12:44
Sangat membantu dalam keadaan darurat pun terima kasih hallo dok,5,2024-11-02 08:02:34
Baik sekali,5,2024-11-02 05:54:36
Respon cepat,5,2024-11-02 04:13:39
good,5,2024-11-02 00:01:16
"Terima kasih sudah bekerjasama dengan astra life, semoga selalu bekerjasama",5,2024-11-01 16:03:14
Untuk menambah pengetahuan dan pencegahan dini,5,2024-11-01 16:00:04
"Selama blm perlu ke rs, aplikasi ini sgt membantu, terimakasih banyak",5,2024-11-01 15:02:30
Bagus beli obat disini Konsul sama dokter juga klo ada obat logo merah,5,2024-11-01 14:34:34
Semoga makin bermanfaat kedepannya,5,2024-11-01 13:00:39
Sangat membantu,2,2024-11-01 10:57:29
Dokter²nya baik dan sangat² marah,5,2024-11-01 10:53:48
Sangat memuaskan layanan konsultasi dokternya.. tks,5,2024-11-01 09:10:33
Mantep,5,2024-11-01 08:42:13
Bagua,5,2024-11-01 07:26:12
Terima kasih semoga saya bisa sehat lagi....sangat membantu pekerja seperti saya ...tidak memakan waktu,5,2024-11-01 07:13:45
Apk keren jadi mudah konsul dengan dokter,5,2024-11-01 04:55:24
Bagus banget membantu kalo boleh ngasih saran vitur obrolan nya jangan chat doang tambahin telpon atau vc biar enak soalnya takutnya kepanjangan ngetik keburu habis waktu,5,2024-11-01 03:59:57
sangat memudahkan untuk konsultasi sakit,5,2024-11-01 03:22:02
"Dokternya cuma fokus di duit doang nggak bener2 ngelayanin pasien, jawab seadanya, dan pengen cepet2 selesai",1,2024-11-01 02:29:48
Respon dokternya cepat,5,2024-11-01 02:18:35
bagus,5,2024-11-01 01:19:51
Sangat membantu disaat sedang urgent,5,2024-11-01 00:19:03
Sangat membantu,5,2024-10-31 15:16:32
Baik sekali,5,2024-10-31 12:30:49
"Sangat membantu sekali dikala kita sulit mencari obat tertentu, dg halodoc segalanya jadi mudah",5,2024-10-31 12:19:11
Sangat membantu bagi orang sakit yang tidak bisa kemana-mana,5,2024-10-31 11:25:28
Sangat membantu. Terimakasih,3,2024-10-31 11:18:18
Mantab nih aplikasi membantu banget di saat urgent,5,2024-10-31 09:47:54
Aplikasi mudah dan terbaik,5,2024-10-31 09:44:07
Sangat membantu,5,2024-10-31 05:51:21
Beeessstttt,5,2024-10-31 04:52:39
Bagus dan sangat membantu dalam segala hal urgent,5,2024-10-31 03:39:52
Bagus,5,2024-10-30 19:35:26
Pelayanannya Baik dan cepat,5,2024-10-30 15:55:45
"Alhamdulillah,lancar jaya lg pake halodoc,sukses halodoc,domternya ramah2",5,2024-10-30 15:36:06
Sangat membantu,5,2024-10-30 14:31:29
Sangat membantu,5,2024-10-30 14:27:55
Kurir nya ramah thankyouu,5,2024-10-30 11:44:34
terimakasih sudah membantu di saat membutuhkan obat,5,2024-10-30 10:26:21
Ok,5,2024-10-30 07:22:51
"Aplikasi yang sangat membantu. Kalau lagi gak bisa konsultasi langsung ke dokter, bisa konsultasi online disini. Pilihan dokternya juga banyak, harga persesi konsultasinya juga bisa cari yang sesuai. Sejauh ini kalau lagi pakai aplikasinya buat konsultasi selalu dapet dokter yang responsifnya cepet, diagnosisnya juga tepat, komunikatif, juga ramah ramah.",5,2024-10-30 05:48:30
Sangat membantu sekali,5,2024-10-30 05:38:52
Membantu,5,2024-10-30 04:52:54
Aplikasi tolol mau sambungkan ke asuransi aja ribet banget kaya akun pinjol mesti foto ktp sama muka segala udah gitu gagal mulu kocak,1,2024-10-30 04:10:24
"Suka dengan aplikasi ini, karna membantu yg lagi kerja tpi pengen konsul ke dokter",5,2024-10-30 01:59:39
Sangat membantu halodoc terutama dalam keadaan urgent...,5,2024-10-29 22:31:53
Suka bangett tapi waktu nya kurang lama,5,2024-10-29 16:06:25
Bagus banget,5,2024-10-29 14:35:22
Terima kasih sudah membantu ketika membutuhkan obat tapi tidak bisa beli langsung ke apotek🙏,5,2024-10-29 14:32:20
Eazy to use & helpfull,5,2024-10-29 14:17:50
Rekomendasi banget,4,2024-10-29 13:23:43
Layanan cepat,5,2024-10-29 11:38:03
Sangat membantu buat sy yg selalu di rumah,5,2024-10-29 09:04:59
Respon dokternya gercep dan ramah,5,2024-10-29 08:52:14
Dokter nya 👍,4,2024-10-29 07:54:34
Puas dapet dokter yg fast respon dan detail bgt jelasinnya,5,2024-10-29 07:32:43
"Sangat membantu sekali, trimakasih hallodok",5,2024-10-29 07:22:59
membantu sekali,5,2024-10-29 06:11:58
Puass banget sama layanan nya itu 🥰🥰🥰🥰,5,2024-10-29 06:03:53
"Sangat membantu sekali disaat seperti sekarang ini, lebih cepat dan lebih mudah",5,2024-10-29 05:13:32
Respon dokternya cepat dan ramah,5,2024-10-29 03:55:51
Puas dgn penjelasanx,5,2024-10-29 03:38:15
Sangat memudahkan semoga sakit saya cepet sembuh,5,2024-10-29 02:04:01
"sangat membantu banget, tapi disayangkan akhir ini sering menyebabkan hang di hp saya dan harus saya uninstall, padahal untuk kebutuhan beli beli vitamin apps ini andalan banget buat saya. just info saya pakai android os versi 13 ram 8, semoga pesan saya sampai dan di tunggu improvementnya :)",2,2024-10-29 01:49:03
Konsultasi ke dokter lebih mudah dan cepat,5,2024-10-29 00:41:13
Puas banget atas layanannya,5,2024-10-29 00:06:32
"Belum beres udah otomatis berakhir, gimana si, padahal masih fast respon.",2,2024-10-28 16:47:33
Sangat membantu,5,2024-10-28 15:17:36
Mantuliti,5,2024-10-28 14:45:41
Ok,5,2024-10-28 14:18:08
"Fast respon, aplikasi sangat membantu",5,2024-10-28 14:09:51
Rama dokternya,5,2024-10-28 14:00:36
harmonisasi warna kurang enak dipandang,3,2024-10-28 13:48:11
Dokternya ramah... dan alhamdulillah yg di resepin cocok... knapa baru skg pakai aplikasi ini... hukHukk.. 🥹🥹🥹.,5,2024-10-28 13:38:33
Saya merasa puas atas jawaban dokter,5,2024-10-28 13:02:39
Berguna sekali. Daripada antri di Puskesmas/Dokter Lokal 😁,5,2024-10-28 09:26:36
Mantab sangat memuaskan,5,2024-10-28 08:25:17
Mantap.. sangat membantu orang awam seperti sya,5,2024-10-28 06:54:16
Cukup membantu...untuk pembayaran pengiriman tolong di sediakan bayar cash on delivery,3,2024-10-28 05:50:55
Mantap,5,2024-10-28 04:15:54
sangat membantu untuk konsultasi.,5,2024-10-28 03:35:49
Bagus,4,2024-10-28 02:22:32
"Cepat, terjngkau",5,2024-10-28 01:54:35
"Sangat mempermudah, apalagi kalau tinggal di desa yg jauh dengan dokter spesialis",5,2024-10-27 23:54:44
Menyenangkan,5,2024-10-27 14:20:36
sangat ramah dan proses cepat,5,2024-10-27 10:46:43
"saldo di halodoc tidak bisa ditarkk ke rekening, untuk CS nya slow sekaliii",1,2024-10-27 09:19:32
Penjelasan dokternya jelas,5,2024-10-27 08:35:27
Aplikasi Halo doc tdk bermanfaat mcm sekelas dokter spesialis anak yg bernama dokter Dwi Lestari Avianti menyarankan anak sy makan gorengan dan coklat padahal usia msh 6 bulan,1,2024-10-27 07:59:24
konsultasi dengan dokter spesialis anak sangat membntu,5,2024-10-27 07:42:48
Respon cepat,5,2024-10-27 07:01:49
Membantu bgt buat konsult hewan pas lagi urgent gini. Aku rekomendasiin pilih Drh edlyn hehehe ngejelasin nya detail banget dia kasih saran dan resep sesuai sm keluhan jd yg diperluin aja gitu. Inget ya Drh Edlyn!! Hehehe,5,2024-10-27 06:31:44
Good,5,2024-10-27 05:16:37
Recommended untuk yang pengen cepat dan tidak ingin pergi ke rumah sakit.,5,2024-10-27 05:02:47
"Aplikasi ini tidak membantu saya sudah konsultasi dokternya slow respon shngga tidak memberikan solusi karna keterbatasan waktu, mohon dipertimbangkan lagi",1,2024-10-27 04:49:53
"Keterangan di aplikasi terkoneksi dengan asuransi, pas pembayaran di minta bayar mandiri. Buat apa saya masukan asuransi saya kalau ujung2 saya di minta bayar semua mandiri tidak terkoneksi asuransi.",1,2024-10-27 04:47:33
Dokternya gercep ga slowrespon,5,2024-10-27 03:57:01
Sangat membantu Best pokonya dokternya ramah²,5,2024-10-27 02:17:14
Pesen obatnya lama bangt udh mau 1minggu tp statusnya masih nunggu kurir hadeh gmn ini cs nya cmn gt doang lgi bknnya ngasih tau brp lamanya udh kirim email jg msh lama penangannanya gmn sih ini,1,2024-10-27 00:26:16
Sangat membantu,5,2024-10-26 19:58:33
"aplikasinya sangat membantu untuk konsultasi secara daring, dan juga banyak voucher untuk medapatkan konsultasi gratis dengan dokter di bidang ahlinya",5,2024-10-26 16:32:41
"Dengan adanya halodoc sangat membantu sekali,saya bisa konsultasi ke dokter dgn mudah.sukses sll",5,2024-10-26 14:00:49
Aplikasinya memudahkan,5,2024-10-26 13:59:27
"Aplikasinya mudah digunakan, tapi sayang kita konsultasi sama dokter nya itu bayar loh. Tapi respon dari dokternya tidak komunikatif dan slow respon banget. Bahkan ketika kita kasih keluhannya, malah ngasih penyebab faktor dari google. Mohon untuk lebih selektif lagi buat dokter"" nya yg ada di halodoc karna kita konsul juga bayar",1,2024-10-26 13:05:42
Ok,5,2024-10-26 11:05:00
"sangat membantu dan ramah, sayang halodoc banyak banyakkkk 🤍🤍🤍🤍🤍🤍🤍🤍",5,2024-10-26 09:35:41
Kerenn bngt dahhh....,5,2024-10-26 09:14:59
membantu sekali,5,2024-10-26 04:46:37
Good,5,2024-10-26 04:30:19
Terima kasih sangat membantu,5,2024-10-26 03:30:44
Membantu sekali utk yg males visit langsung,5,2024-10-26 03:20:24
Praktis dan sangat memudahkan.,4,2024-10-26 02:39:02
Saya suka karna dokter nya ramah . Dan d saran dengan baik terimakasih halodok..,5,2024-10-26 02:09:27
Keren Bangets Sangat Helpful,5,2024-10-26 00:23:59
"pengalaman pertama pemesanan, cukup memuaskan",5,2024-10-25 23:38:13
Dokternya tidak sigap memberi resep tidak melihat waktu habis,1,2024-10-25 17:53:56
"Penjelasan dokter nya detail, terima kasih dokter",5,2024-10-25 15:17:02
Singkat padat sehat,5,2024-10-25 14:33:30
Dokternya baik,5,2024-10-25 14:16:02
Okk,5,2024-10-25 12:39:11
Sangat membantu,5,2024-10-25 12:37:53
Sangat puas,5,2024-10-25 11:58:11
sangat membantu,5,2024-10-25 11:53:11
"Kemasan rapi, pengantaran cepat",5,2024-10-25 11:16:50
Bagus app nya ngebantu bgt,5,2024-10-25 10:13:35
Mantap,5,2024-10-25 08:44:17
awesome,5,2024-10-25 07:47:00
membantu 😊🙏,5,2024-10-25 06:35:27
Membantu... terima kasih,5,2024-10-25 04:46:26
Dokternya ramah,5,2024-10-25 04:14:14
Oke,5,2024-10-25 04:08:00
Bagus,5,2024-10-25 03:20:27
Mudah untuk mencari rekomendasi dokter yg ingin konsultasi,5,2024-10-25 02:59:13
Good job,5,2024-10-25 02:22:52
"Aplikasi ini sangat membantu, simple dan gampang digunakan.",5,2024-10-25 00:00:30
"mending apk yg biru masa saya beli obat yg ada resep dokternya gadikasih katanya karna bahaya, di apk sblah bilang ga bahaya saya udah cari tau tentang obat itu juga gabahaya, dokter yg saya tanyai juga seperti males menjawab pertanyaan pertanyaan saya kenapa ga bisa dikasih resepnya, aneh. saya malah disuruh langsung ke rs, kocak. buat apa saya download apk ini kalo begitu, dokter seperti memandang rendah pengetahuan saya dan malas menanggapi pasien.",1,2024-10-24 20:32:53
aplikasi ini sangat mebantu saya sebagai anak rantau,5,2024-10-24 16:39:10
Membantu Banget Bagi yang asuransi nya yang sudah terdaftar,5,2024-10-24 16:00:50
Estimasi pesanan obat 1 jam tapi alhamdulillah 15 menit sudah sampai,5,2024-10-24 15:59:38
Sangat membantu disaat gabisa untuk berobat keluar,5,2024-10-24 15:46:03
Sangat membantu,5,2024-10-24 12:29:04
sangat membantu,5,2024-10-24 12:16:01
Cukup membantu utk kondisi darurat dan second opinion,5,2024-10-24 11:23:01
Pelayanan cepat dan memuaskan,5,2024-10-24 08:47:34
Ok,5,2024-10-24 08:27:01
Sangat membantu,5,2024-10-24 08:10:52
Mantap,5,2024-10-24 07:13:51
Mantap mudah berobat,5,2024-10-24 07:04:34
Terimakasih halo doc untuk bantuan resep obatnya,5,2024-10-24 04:59:45
Ngebantu banget 🤍,5,2024-10-24 03:59:08
Good,5,2024-10-24 03:34:35
Bermanfaat bagi yg mau konsul dr rumah saja,4,2024-10-24 01:46:43
"Aplikasinya sederhana, mudah dipahami, dokterna ramah, fast respon, terima kasih halodoc",5,2024-10-24 01:22:23
Bagus,5,2024-10-24 01:01:15
Terimakasih sudah menjembatani saya dengan dokter2 baik,5,2024-10-23 14:14:43
Keren,5,2024-10-23 13:11:29
Makin ribet ahhh klaim pengobatan gara2 print kwitansi kurang jelas jadi susah cair penggatian dana pengobatan. Pake aplikasi malah bikin sulit,1,2024-10-23 11:52:01
